"clearances_avg_home","corners_avg_home","passes_avg_home","possession_avg_home","shots_avg_home","shots_on_target_avg_home","touches_avg_home","goals_scored_ft_avg_home","goals_conced_ft_avg_home","performance_acum_home"
"33.4","4.1","379.1","48.8","11.1","3.4","579.8","1","1.32","40"
"31.2","6","465.3","52.8","14.2","4.6","679.5","1.53","0.92","60.2"
"27.5","5","375.9","50.6","13.1","4.4","585.6","1.5","1.47","40.6"
"42","5","407.8","50.5","14.5","4.4","633.3","1.5","1.92","37.2"
"42.9","4.8","415.2","50.9","14.5","4.7","637.9","1.45","1.73","42.4"
"33.3","3.8","402.5","49.8","12.6","4","621.7","0.83","1.61","31.9"
"35.3","5","269.1","39.1","12.9","3.7","475.3","1.21","1.3","39.4"
"33.6","3.9","382.1","49.2","10.8","3.5","579.1","1","1.18","35.3"
"31.5","5.7","482.5","54.2","14.4","4.7","698.5","1.47","0.84","61.4"
"33.8","5.6","268.5","39.6","14.6","4.1","474.1","1.28","1.22","44.4"
"39.2","4.6","365.2","46.8","13.9","3.5","586.4","1.11","1.05","47.4"
"34.4","7.5","419.2","52.3","17.2","5.1","647.6","1.5","1.28","55.6"
"26.8","5.5","373.1","48.5","14.9","4.1","583.4","1.33","1.72","40.7"
"33.6","4.5","354.1","44.1","14.2","3.6","575.2","1","1.68","28.1"
"43.8","4.7","415.7","50.4","14.2","4.3","636.2","1.44","1.67","46.3"
"40.6","4.9","453.2","51.7","14.3","4.2","676.3","0.95","1.2","31.7"
"29.5","5.8","513.3","56.7","15.8","5.5","718.8","2.16","0.95","71.9"
"35.8","5.5","270.4","39.3","13.5","3.6","474.5","0.91","1.45","30.3"
"29.1","7.2","447.2","55","17.5","5","670.5","1.18","1.27","45.5"
"35.5","6.2","361.7","47.7","13.4","3.9","579.8","0.91","1.27","39.4"
"20.1","5.5","525.8","58","17.7","6.4","733.9","2.45","0.45","75.8"
"29.4","6.3","419.2","54.8","16.6","4.3","636.7","1.09","0.91","42.4"
"29.1","5.3","473.4","52.2","12.8","4.1","689.3","1.36","0.91","60.6"
"27.8","4.8","404.4","51.7","13.8","5","618.5","1.82","1.27","51.5"
"33.4","4.5","360.9","44.3","14.6","4.2","577.5","0.82","1.82","21.2"
